epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.8891,1.1378,2.22574,1.6427,0.85283,0.25641,0.30423,0.14147,1.85945,3.40122,2.41651,0.000464992,0.000464992,0.000464992
2,188.193,0.80568,1.58504,1.27624,0.1998,0.51639,0.36302,0.224,1.24684,2.71106,1.63786,0.000932006,0.000932006,0.000932006
3,279.16,0.77675,1.44027,1.27281,0.32189,0.63005,0.33424,0.23854,0.62955,7.21575,0.97468,0.00138959,0.00138959,0.00138959
4,368.828,0.70264,1.28309,1.20511,0.48266,0.71406,0.5113,0.44041,0.57738,1.91859,0.89996,0.00138656,0.00138656,0.00138656
5,459.772,0.69704,1.1663,1.20119,0.40366,0.79136,0.46891,0.43642,0.4725,1.6547,0.7924,0.00137241,0.00137241,0.00137241
6,549.395,0.62812,1.08781,1.14664,0.31574,0.60386,0.38897,0.25796,0.79615,2.30096,1.18871,0.00135826,0.00135826,0.00135826
7,638.911,0.62848,1.02878,1.14794,0.34834,0.69677,0.52445,0.44644,0.57543,1.63097,0.96054,0.00134412,0.00134412,0.00134412
8,727.045,0.65474,1.01857,1.14776,0.46212,0.6571,0.53301,0.46036,0.59052,1.32985,0.94755,0.00132997,0.00132997,0.00132997
9,814.498,0.61286,0.95491,1.1473,0.44761,0.72301,0.50851,0.44372,0.53862,1.20924,0.88632,0.00131582,0.00131582,0.00131582
10,900.392,0.60165,0.94864,1.14544,0.55753,0.67249,0.63994,0.58369,0.44215,0.97075,0.84704,0.00130168,0.00130168,0.00130168
11,986.678,0.61042,0.95783,1.13914,0.50981,0.73505,0.61187,0.51628,0.54341,1.0798,0.90692,0.00128753,0.00128753,0.00128753
12,1074.4,0.58549,0.90993,1.12353,0.52359,0.64677,0.59244,0.53231,0.40737,1.10375,0.7553,0.00127338,0.00127338,0.00127338
13,1160.87,0.56541,0.92117,1.09815,0.47896,0.75929,0.55284,0.51935,0.35275,1.08294,0.70451,0.00125923,0.00125923,0.00125923
14,1247.59,0.55768,0.85586,1.09842,0.52734,0.74298,0.60737,0.59154,0.29881,0.97748,0.68353,0.00124509,0.00124509,0.00124509
15,1334.23,0.55167,0.86154,1.1027,0.355,0.91517,0.47646,0.41556,0.52873,1.51018,0.87815,0.00123094,0.00123094,0.00123094
16,1427.21,0.53609,0.86234,1.08815,0.42771,0.8272,0.48925,0.4598,0.35934,0.989,0.71759,0.00121679,0.00121679,0.00121679
17,1515.26,0.54162,0.85755,1.09528,0.57539,0.61292,0.64029,0.59377,0.36258,0.94668,0.71278,0.00120265,0.00120265,0.00120265
18,1601.16,0.56265,0.8503,1.11242,0.4916,0.70157,0.58594,0.53583,0.45889,1.02124,0.8008,0.0011885,0.0011885,0.0011885
